"PTT","cutoff","dur","id"
"ptt09",1526947200,38.5687615740741,"Tag09"
"ptt10",1533427200,34.1709375,"Tag10"
"ptt11",1533427200,42.7692939814815,"Tag11"
"ptt12",1533427200,43.4480787037037,"Tag12"
"ptt13",1533513600,41.2602546296296,"Tag13"
"ptt14",1533600000,43.3047453703704,"Tag14"
"ptt15",1533600000,43.5538310185185,"Tag15"
"ptt16",1533600000,57.1999421296296,"Tag16"
